area,País,Año publicación,# Publicaciones
Ciencias Agrícolas,India,2022,1
Ciencias Agrícolas,India,2023,2
Ciencias Agrícolas,Irán,2022,1
Ciencias Agrícolas,Irán,2024,1
Ciencias Agrícolas,Libia,2022,1
Ciencias Agrícolas,Libia,2023,1
Ciencias Agrícolas,Malasia,1994,1
Ciencias Agrícolas,México,1986,1
Ciencias Agrícolas,México,1988,1
Ciencias Agrícolas,México,1989,1
Ciencias Agrícolas,México,1992,2
Ciencias Agrícolas,México,1993,1
Ciencias Agrícolas,México,1994,3
Ciencias Agrícolas,México,1995,2
Ciencias Agrícolas,México,1996,8
Ciencias Agrícolas,México,1997,2
Ciencias Agrícolas,México,1998,7
Ciencias Agrícolas,México,1999,4
Ciencias Agrícolas,México,2000,6
Ciencias Agrícolas,México,2001,5
Ciencias Agrícolas,México,2002,7
Ciencias Agrícolas,México,2003,15
Ciencias Agrícolas,México,2004,5
Ciencias Agrícolas,México,2005,15
Ciencias Agrícolas,México,2006,10
Ciencias Agrícolas,México,2007,5
Ciencias Agrícolas,México,2008,15
Ciencias Agrícolas,México,2009,6
Ciencias Agrícolas,México,2010,14
Ciencias Agrícolas,México,2011,12
Ciencias Agrícolas,México,2012,1
Ciencias Agrícolas,México,2013,2
Ciencias Agrícolas,México,2014,5
Ciencias Agrícolas,México,2015,7
Ciencias Agrícolas,México,2016,4
Ciencias Agrícolas,México,2017,4
Ciencias Agrícolas,México,2018,1
Ciencias Agrícolas,México,2019,6
Ciencias Agrícolas,México,2020,10
Ciencias Agrícolas,México,2021,10
Ciencias Agrícolas,México,2022,2
Ciencias Agrícolas,México,2023,2
Ciencias Agrícolas,México,2024,5
Ciencias Agrícolas,Nigeria,2015,2
Ciencias Agrícolas,Nigeria,2017,1
Ciencias Agrícolas,No aplica,1993,2
Ciencias Agrícolas,No aplica,1994,1
Ciencias Agrícolas,No aplica,1995,2
Ciencias Agrícolas,No aplica,1996,2
Ciencias Agrícolas,No aplica,1997,2
Ciencias Agrícolas,No aplica,1998,2
Ciencias Agrícolas,No aplica,2002,2
Ciencias Agrícolas,No aplica,2005,4
Ciencias Agrícolas,No aplica,2006,4
Ciencias Agrícolas,No aplica,2008,2
Ciencias Agrícolas,No aplica,2010,2
Ciencias Agrícolas,No aplica,2012,10
Ciencias Agrícolas,No aplica,2013,3
Ciencias Agrícolas,No aplica,2014,1
Ciencias Agrícolas,No aplica,2015,4
Ciencias Agrícolas,No aplica,2016,5
Ciencias Agrícolas,No aplica,2017,1
Ciencias Agrícolas,Noruega,2016,1
Ciencias Agrícolas,Nueva zelanda,2016,1
Ciencias Agrícolas,Panamá,2022,1
Ciencias Agrícolas,Países bajos,2008,2
Ciencias Agrícolas,Países bajos,2009,1
Ciencias Agrícolas,Países bajos,2011,3
Ciencias Agrícolas,Países bajos,2012,9
Ciencias Agrícolas,Países bajos,2014,2
Ciencias Agrícolas,Países bajos,2015,2
Ciencias Agrícolas,Países bajos,2016,1
Ciencias Agrícolas,Países bajos,2017,3
Ciencias Agrícolas,Países bajos,2020,1
Ciencias Agrícolas,Países bajos,2021,5
Ciencias Agrícolas,Países bajos,2022,2
Ciencias Agrícolas,Países bajos,2023,3
Ciencias Agrícolas,Perú,2003,2
Ciencias Agrícolas,Perú,2004,1
Ciencias Agrícolas,Perú,2016,4
Ciencias Agrícolas,Perú,2017,3
Ciencias Agrícolas,Perú,2018,1
Ciencias Agrícolas,Perú,2019,2
Ciencias Agrícolas,Perú,2021,1
Ciencias Agrícolas,Perú,2022,4
Ciencias Agrícolas,Perú,2023,3
Ciencias Agrícolas,Perú,2024,2
Ciencias Agrícolas,Portugal,2018,1
Ciencias Agrícolas,Reino unido,2012,1
Ciencias Agrícolas,Reino unido,2013,3
Ciencias Agrícolas,Reino unido,2014,2
Ciencias Agrícolas,Reino unido,2015,2
Ciencias Agrícolas,Reino unido,2016,4
Ciencias Agrícolas,Reino unido,2017,1
Ciencias Agrícolas,Reino unido,2019,1
Ciencias Agrícolas,Reino unido,2021,1
Ciencias Agrícolas,Reino unido,2022,2
Ciencias Agrícolas,Reino unido,2023,2
Ciencias Agrícolas,República dominicana,2023,2
Ciencias Agrícolas,República dominicana,2024,1
Ciencias Agrícolas,Rumania,2019,1
Ciencias Agrícolas,Rumania,2021,1
Ciencias Agrícolas,Rusia,1979,1
Ciencias Agrícolas,Rusia,1982,1
Ciencias Agrícolas,Rusia,2024,1
Ciencias Agrícolas,Suiza,2015,1
Ciencias Agrícolas,Suiza,2018,1
Ciencias Agrícolas,Suiza,2020,1
Ciencias Agrícolas,Suiza,2021,4
Ciencias Agrícolas,Suiza,2022,10
Ciencias Agrícolas,Suiza,2023,8
Ciencias Agrícolas,Suiza,2024,2
Ciencias Agrícolas,Tailandia,2022,1
Ciencias Agrícolas,Venezuela,2009,1
Ciencias Agrícolas,Venezuela,2011,1
Ciencias Agrícolas,Venezuela,2013,5
Ciencias Agrícolas,Venezuela,2014,5
Ciencias Agrícolas,Venezuela,2015,2
Ciencias Agrícolas,Venezuela,2016,4
Ciencias Agrícolas,Venezuela,2017,3
Ciencias Agrícolas,Venezuela,2018,3
Ciencias Agrícolas,Venezuela,2019,2
Ciencias Agrícolas,Venezuela,2020,6
Ciencias Agrícolas,Venezuela,2021,2
Ciencias Agrícolas,Venezuela,2022,2
Ciencias Médicas y de la Salud,Albania,2017,1
Ciencias Médicas y de la Salud,Alemania,2012,1
Ciencias Médicas y de la Salud,Alemania,2013,2
Ciencias Médicas y de la Salud,Alemania,2014,1
Ciencias Médicas y de la Salud,Alemania,2016,1
Ciencias Médicas y de la Salud,Alemania,2018,1
Ciencias Médicas y de la Salud,Alemania,2024,1
Ciencias Médicas y de la Salud,Arabia saudita,2019,1
Ciencias Médicas y de la Salud,Argentina,2001,1
Ciencias Médicas y de la Salud,Argentina,2007,1
Ciencias Médicas y de la Salud,Argentina,2008,2
Ciencias Médicas y de la Salud,Argentina,2009,2
Ciencias Médicas y de la Salud,Argentina,2010,2
Ciencias Médicas y de la Salud,Argentina,2011,3
Ciencias Médicas y de la Salud,Argentina,2012,1
Ciencias Médicas y de la Salud,Argentina,2014,4
Ciencias Médicas y de la Salud,Argentina,2015,1
Ciencias Médicas y de la Salud,Argentina,2017,2
Ciencias Médicas y de la Salud,Argentina,2018,1
Ciencias Médicas y de la Salud,Argentina,2019,2
Ciencias Médicas y de la Salud,Argentina,2020,1
Ciencias Médicas y de la Salud,Argentina,2021,1
Ciencias Médicas y de la Salud,Argentina,2023,1
Ciencias Médicas y de la Salud,Argentina,2024,2
Ciencias Médicas y de la Salud,Australia,2016,1
Ciencias Médicas y de la Salud,Australia,2020,1
Ciencias Médicas y de la Salud,Bolivia,2014,2
Ciencias Médicas y de la Salud,Bolivia,2016,2
Ciencias Médicas y de la Salud,Brasil,2005,1
Ciencias Médicas y de la Salud,Brasil,2006,2
Ciencias Médicas y de la Salud,Brasil,2009,2
Ciencias Médicas y de la Salud,Brasil,2011,1
Ciencias Médicas y de la Salud,Brasil,2012,1
Ciencias Médicas y de la Salud,Brasil,2013,2
Ciencias Médicas y de la Salud,Brasil,2015,2
Ciencias Médicas y de la Salud,Brasil,2016,1
Ciencias Médicas y de la Salud,Brasil,2017,4
Ciencias Médicas y de la Salud,Brasil,2018,1
Ciencias Médicas y de la Salud,Brasil,2019,1
Ciencias Médicas y de la Salud,Brasil,2020,1
Ciencias Médicas y de la Salud,Brasil,2022,1
Ciencias Médicas y de la Salud,Brasil,2023,1
Ciencias Médicas y de la Salud,Bulgaria,2018,1
Ciencias Médicas y de la Salud,Canadá,2013,1
Ciencias Médicas y de la Salud,Canadá,2018,1
Ciencias Médicas y de la Salud,Chile,2010,1
Ciencias Médicas y de la Salud,Chile,2014,4
Ciencias Médicas y de la Salud,Chile,2015,1
Ciencias Médicas y de la Salud,Chile,2016,1
Ciencias Médicas y de la Salud,Chile,2017,3
Ciencias Médicas y de la Salud,Chile,2018,1
Ciencias Médicas y de la Salud,Chile,2020,1
Ciencias Médicas y de la Salud,Chile,2021,1
Ciencias Médicas y de la Salud,China,2018,2
Ciencias Médicas y de la Salud,Colombia,1974,1
Ciencias Médicas y de la Salud,Colombia,1981,1
Ciencias Médicas y de la Salud,Colombia,1982,1
Ciencias Médicas y de la Salud,Colombia,1983,1
Ciencias Médicas y de la Salud,Colombia,1984,1
Ciencias Médicas y de la Salud,Colombia,1986,2
Ciencias Médicas y de la Salud,Colombia,1987,1
Ciencias Médicas y de la Salud,Colombia,1988,1
Ciencias Médicas y de la Salud,Colombia,1989,5
Ciencias Médicas y de la Salud,Colombia,1990,2
Ciencias Médicas y de la Salud,Colombia,1991,3
Ciencias Médicas y de la Salud,Colombia,1992,2
Ciencias Médicas y de la Salud,Colombia,1993,3
Ciencias Médicas y de la Salud,Colombia,1994,6
Ciencias Médicas y de la Salud,Colombia,1995,5
Ciencias Médicas y de la Salud,Colombia,1996,10
Ciencias Médicas y de la Salud,Colombia,1997,13
Ciencias Médicas y de la Salud,Colombia,1998,2
Ciencias Médicas y de la Salud,Colombia,1999,7
Ciencias Médicas y de la Salud,Colombia,2000,11
Ciencias Médicas y de la Salud,Colombia,2001,14
Ciencias Médicas y de la Salud,Colombia,2002,16
Ciencias Médicas y de la Salud,Colombia,2003,12
Ciencias Médicas y de la Salud,Colombia,2004,14
Ciencias Médicas y de la Salud,Colombia,2005,16
Ciencias Médicas y de la Salud,Colombia,2006,34
Ciencias Médicas y de la Salud,Colombia,2007,25
Ciencias Médicas y de la Salud,Colombia,2008,23
Ciencias Médicas y de la Salud,Colombia,2009,42
Ciencias Médicas y de la Salud,Colombia,2010,38
Ciencias Médicas y de la Salud,Colombia,2011,51
Ciencias Médicas y de la Salud,Colombia,2012,46
Ciencias Médicas y de la Salud,Colombia,2013,40
Ciencias Médicas y de la Salud,Colombia,2014,64
Ciencias Médicas y de la Salud,Colombia,2015,51
Ciencias Médicas y de la Salud,Colombia,2016,66
Ciencias Médicas y de la Salud,Colombia,2017,62
Ciencias Médicas y de la Salud,Colombia,2018,56
Ciencias Médicas y de la Salud,Colombia,2019,72
Ciencias Médicas y de la Salud,Colombia,2020,70
Ciencias Médicas y de la Salud,Colombia,2021,42
Ciencias Médicas y de la Salud,Colombia,2022,35
Ciencias Médicas y de la Salud,Colombia,2023,34
Ciencias Médicas y de la Salud,Colombia,2024,27
Ciencias Médicas y de la Salud,Costa rica,2017,2
Ciencias Médicas y de la Salud,Costa rica,2020,1
Ciencias Médicas y de la Salud,Costa rica,2023,1
Ciencias Médicas y de la Salud,Croacia,2013,2
Ciencias Médicas y de la Salud,Cuba,2009,1
Ciencias Médicas y de la Salud,Cuba,2011,1
Ciencias Médicas y de la Salud,Cuba,2013,1
Ciencias Médicas y de la Salud,Cuba,2014,1
Ciencias Médicas y de la Salud,Cuba,2015,2
Ciencias Médicas y de la Salud,Cuba,2016,1
Ciencias Médicas y de la Salud,Cuba,2018,1
Ciencias Médicas y de la Salud,Cuba,2020,6
Ciencias Médicas y de la Salud,Cuba,2021,6
Ciencias Médicas y de la Salud,Cuba,2022,2
Ciencias Médicas y de la Salud,Cuba,2023,4
Ciencias Médicas y de la Salud,Cuba,2024,4
Ciencias Médicas y de la Salud,Dinamarca,2020,1
Ciencias Médicas y de la Salud,Ecuador,2019,1
Ciencias Médicas y de la Salud,Ecuador,2020,1
Ciencias Médicas y de la Salud,Ecuador,2021,3
Ciencias Médicas y de la Salud,Ecuador,2023,1
Ciencias Médicas y de la Salud,España,1988,1
Ciencias Médicas y de la Salud,España,1991,1
Ciencias Médicas y de la Salud,España,1992,1
Ciencias Médicas y de la Salud,España,1996,1
Ciencias Médicas y de la Salud,España,1997,1
Ciencias Médicas y de la Salud,España,2001,1
Ciencias Médicas y de la Salud,España,2003,2
Ciencias Médicas y de la Salud,España,2004,7
Ciencias Médicas y de la Salud,España,2005,8
Ciencias Médicas y de la Salud,España,2006,6
Ciencias Médicas y de la Salud,España,2007,6
Ciencias Médicas y de la Salud,España,2008,7
Ciencias Médicas y de la Salud,España,2009,4
Ciencias Médicas y de la Salud,España,2010,7
Ciencias Médicas y de la Salud,España,2011,6
Ciencias Médicas y de la Salud,España,2012,7
Ciencias Médicas y de la Salud,España,2013,9
Ciencias Médicas y de la Salud,España,2014,17
Ciencias Médicas y de la Salud,España,2015,9
Ciencias Médicas y de la Salud,España,2016,8
Ciencias Médicas y de la Salud,España,2017,5
Ciencias Médicas y de la Salud,España,2018,12
Ciencias Médicas y de la Salud,España,2019,9
Ciencias Médicas y de la Salud,España,2020,12
Ciencias Médicas y de la Salud,España,2021,10
Ciencias Médicas y de la Salud,España,2022,6
Ciencias Médicas y de la Salud,España,2023,7
Ciencias Médicas y de la Salud,España,2024,3
Ciencias Médicas y de la Salud,Estados unidos,1994,1
Ciencias Médicas y de la Salud,Estados unidos,2005,1
Ciencias Médicas y de la Salud,Estados unidos,2006,1
Ciencias Médicas y de la Salud,Estados unidos,2007,2
Ciencias Médicas y de la Salud,Estados unidos,2008,1
Ciencias Médicas y de la Salud,Estados unidos,2010,1
Ciencias Médicas y de la Salud,Estados unidos,2011,1
Ciencias Médicas y de la Salud,Estados unidos,2012,1
Ciencias Médicas y de la Salud,Estados unidos,2013,2
Ciencias Médicas y de la Salud,Estados unidos,2014,3
Ciencias Médicas y de la Salud,Estados unidos,2015,2
Ciencias Médicas y de la Salud,Estados unidos,2016,2
Ciencias Médicas y de la Salud,Estados unidos,2017,9
Ciencias Médicas y de la Salud,Estados unidos,2018,7
Ciencias Médicas y de la Salud,Estados unidos,2019,3
Ciencias Médicas y de la Salud,Estados unidos,2020,6
Ciencias Médicas y de la Salud,Estados unidos,2021,3
Ciencias Médicas y de la Salud,Estados unidos,2022,2
Ciencias Médicas y de la Salud,Estados unidos,2023,5
Ciencias Médicas y de la Salud,Finlandia,2011,2
Ciencias Médicas y de la Salud,Francia,2012,1
Ciencias Médicas y de la Salud,Francia,2019,1
Ciencias Médicas y de la Salud,Francia,2021,1
Ciencias Médicas y de la Salud,Italia,2014,1
Ciencias Médicas y de la Salud,Italia,2015,1
Ciencias Médicas y de la Salud,Italia,2016,4
Ciencias Médicas y de la Salud,Italia,2017,2
Ciencias Médicas y de la Salud,Italia,2018,1
Ciencias Médicas y de la Salud,Italia,2021,1
Ciencias Médicas y de la Salud,Letonia,2019,1
Ciencias Médicas y de la Salud,México,2004,1
Ciencias Médicas y de la Salud,México,2005,1
Ciencias Médicas y de la Salud,México,2007,3
Ciencias Médicas y de la Salud,México,2008,1
Ciencias Médicas y de la Salud,México,2011,1
Ciencias Médicas y de la Salud,México,2014,3
Ciencias Médicas y de la Salud,México,2015,4
Ciencias Médicas y de la Salud,México,2016,5
Ciencias Médicas y de la Salud,México,2017,3
Ciencias Médicas y de la Salud,México,2019,2
Ciencias Médicas y de la Salud,México,2020,4
Ciencias Médicas y de la Salud,México,2024,3
Ciencias Médicas y de la Salud,No aplica,1997,1
Ciencias Médicas y de la Salud,No aplica,2002,1
Ciencias Médicas y de la Salud,No aplica,2003,1
Ciencias Médicas y de la Salud,No aplica,2004,1
Ciencias Médicas y de la Salud,No aplica,2006,1
Ciencias Médicas y de la Salud,No aplica,2007,3
Ciencias Médicas y de la Salud,No aplica,2008,2
Ciencias Médicas y de la Salud,No aplica,2010,2
Ciencias Médicas y de la Salud,No aplica,2017,1
Ciencias Médicas y de la Salud,Nueva zelanda,2017,1
Ciencias Médicas y de la Salud,Nueva zelanda,2023,1
Ciencias Médicas y de la Salud,Pakistán,2020,1
Ciencias Médicas y de la Salud,Pakistán,2021,1
Ciencias Médicas y de la Salud,Panamá,2016,1
Ciencias Médicas y de la Salud,Panamá,2024,1
Ciencias Médicas y de la Salud,Paraguay,2015,1
Ciencias Médicas y de la Salud,Países bajos,2017,1
Ciencias Médicas y de la Salud,Países bajos,2019,1
Ciencias Médicas y de la Salud,Países bajos,2020,2
Ciencias Médicas y de la Salud,Países bajos,2021,1
Ciencias Médicas y de la Salud,Países bajos,2024,2
Ciencias Médicas y de la Salud,Perú,2015,5
Ciencias Médicas y de la Salud,Perú,2016,10
Ciencias Médicas y de la Salud,Perú,2017,2
Ciencias Médicas y de la Salud,Perú,2018,1
Ciencias Médicas y de la Salud,Perú,2019,1
Ciencias Médicas y de la Salud,Perú,2020,1
Ciencias Médicas y de la Salud,Perú,2021,1
Ciencias Médicas y de la Salud,Perú,2022,2
Ciencias Médicas y de la Salud,Polonia,2021,1
Ciencias Médicas y de la Salud,Portugal,2007,1
Ciencias Médicas y de la Salud,Portugal,2023,1
Ciencias Médicas y de la Salud,Reino unido,2015,1
Ciencias Médicas y de la Salud,Reino unido,2017,1
Ciencias Médicas y de la Salud,Reino unido,2018,2
Ciencias Médicas y de la Salud,Reino unido,2019,1
Ciencias Médicas y de la Salud,Reino unido,2020,2
Ciencias Médicas y de la Salud,Reino unido,2021,2
Ciencias Médicas y de la Salud,Reino unido,2023,2
Ciencias Médicas y de la Salud,Reino unido,2024,1
Ciencias Médicas y de la Salud,Rumania,2019,1
Ciencias Médicas y de la Salud,Suecia,2018,1
Ciencias Médicas y de la Salud,Suecia,2022,1
Ciencias Médicas y de la Salud,Suiza,2019,1
Ciencias Médicas y de la Salud,Suiza,2020,3
Ciencias Médicas y de la Salud,Suiza,2021,2
Ciencias Médicas y de la Salud,Suiza,2022,1
Ciencias Médicas y de la Salud,Suiza,2023,3
Ciencias Médicas y de la Salud,Suiza,2024,3
Ciencias Médicas y de la Salud,Turquía,2021,1
Ciencias Médicas y de la Salud,Venezuela,2005,2
Ciencias Médicas y de la Salud,Venezuela,2007,2
Ciencias Médicas y de la Salud,Venezuela,2011,1
Ciencias Médicas y de la Salud,Venezuela,2015,1
Ciencias Médicas y de la Salud,Venezuela,2016,1
Ciencias Médicas y de la Salud,Venezuela,2017,1
Ciencias Médicas y de la Salud,Venezuela,2018,1
Ciencias Médicas y de la Salud,Venezuela,2020,3
Ciencias Médicas y de la Salud,Venezuela,2021,1
Ciencias Naturales,Alemania,1983,6
Ciencias Naturales,Alemania,1984,13
Ciencias Naturales,Alemania,1989,3
Ciencias Naturales,Alemania,1995,2
Ciencias Naturales,Alemania,1999,1
Ciencias Naturales,Alemania,2001,1
Ciencias Naturales,Alemania,2002,5
Ciencias Naturales,Alemania,2003,1
Ciencias Naturales,Alemania,2004,4
Ciencias Naturales,Alemania,2005,25
Ciencias Naturales,Alemania,2006,1
Ciencias Naturales,Alemania,2007,4
Ciencias Naturales,Alemania,2008,23
Ciencias Naturales,Alemania,2009,4
Ciencias Naturales,Alemania,2010,4
Ciencias Naturales,Alemania,2011,6
Ciencias Naturales,Alemania,2012,11
Ciencias Naturales,Alemania,2013,5
Ciencias Naturales,Alemania,2014,7
Ciencias Naturales,Alemania,2015,4
Ciencias Naturales,Alemania,2016,9
Ciencias Naturales,Alemania,2017,14
Ciencias Naturales,Alemania,2018,8
Ciencias Naturales,Alemania,2019,4
Ciencias Naturales,Alemania,2020,3
Ciencias Naturales,Alemania,2021,8
Ciencias Naturales,Alemania,2022,7
Ciencias Naturales,Alemania,2023,9
Ciencias Naturales,Alemania,2024,1
Ciencias Naturales,Arabia saudita,2018,1
Ciencias Naturales,Argentina,2003,1
Ciencias Naturales,Argentina,2004,2
Ciencias Naturales,Argentina,2005,1
Ciencias Naturales,Argentina,2006,1
Ciencias Naturales,Argentina,2007,2
Ciencias Naturales,Argentina,2008,1
Ciencias Naturales,Argentina,2009,3
Ciencias Naturales,Argentina,2011,9
Ciencias Naturales,Argentina,2012,8
Ciencias Naturales,Argentina,2013,3
Ciencias Naturales,Argentina,2015,1
Ciencias Naturales,Argentina,2016,12
Ciencias Naturales,Argentina,2017,9
Ciencias Naturales,Argentina,2018,2
Ciencias Naturales,Argentina,2020,1
Ciencias Naturales,Australia,2006,1
Ciencias Naturales,Australia,2012,2
Ciencias Naturales,Australia,2013,3
Ciencias Naturales,Australia,2014,1
Ciencias Naturales,Australia,2019,1
Ciencias Naturales,Australia,2021,1
Ciencias Naturales,Australia,2023,1
Ciencias Naturales,Australia,2024,1
Ciencias Naturales,Austria,2004,2
Ciencias Naturales,Austria,2011,2
Ciencias Naturales,Austria,2014,1
Ciencias Naturales,Austria,2015,1
Ciencias Naturales,Austria,2016,1
Ciencias Naturales,Austria,2021,2
Ciencias Naturales,Austria,2024,1
Ciencias Naturales,Bolivia,2015,1
Ciencias Naturales,Bolivia,2019,1
Ciencias Naturales,Bolivia,2023,1
Ciencias Naturales,Botsuana,2000,1
Ciencias Naturales,Brasil,1981,3
Ciencias Naturales,Brasil,1983,4
Ciencias Naturales,Brasil,1984,3
